dataset,model,acc,macro_f1,f1_neg,f1_neu,f1_pos
fpb,LM,0.6484098939929329,0.4829490678119252,0.41008403361344536,0.7789866335094808,0.25977653631284914
fiqa,LM,0.3172690763052209,0.3452281185614519,0.6618181818181819,0.14594594594594595,0.22792022792022792
