metric,value
cv_acc_mean,0.6581120331950208
cv_acc_std,0.027323174477987343
cv_f1_mean,0.6255674986283104
cv_f1_std,0.03142634839594834
holdout_acc,0.6478405315614618
holdout_macro_f1,0.6229985483284164
holdout_macro_auc,0.8045339723015456
n_train,1202.0
n_test,301.0
