metric,value
cv_acc_mean,0.6556329113924051
cv_acc_std,0.05157767704878186
cv_f1_mean,0.546560765360871
cv_f1_std,0.08387107566038675
holdout_acc,0.59
holdout_macro_f1,0.456611465996589
holdout_macro_auc,0.6396884672340261
