metric,value
cv_acc_mean,0.8343606836826325
cv_acc_std,0.01922513012219328
cv_f1_mean,0.7657354406768198
cv_f1_std,0.031923551641836544
holdout_acc,0.8211920529801324
holdout_macro_f1,0.7401705788233008
holdout_macro_auc,0.9422413471823882
