class,rank,token,mean_abs_shap
0,1,energy,0.03513989208088045
0,2,million,0.03298798997599395
0,3,trading,0.029149671412095332
0,4,stock,0.02777158779684097
0,5,2025,0.022476604612881743
0,6,investors,0.02050245372642647
0,7,market,0.019632939444660717
0,8,closed,0.019298237729759277
0,9,assets,0.01814281913028526
0,10,trade,0.01758934364395863
0,11,announces,0.01639109931380108
0,12,lp,0.016311490585201493
0,13,oil,0.01496470585753491
0,14,investing com,0.014548268804314535
0,15,investing,0.014548268804314535
0,16,com,0.014548268804314535
0,17,earnings,0.013716533745261258
0,18,trading session,0.01370230770522671
0,19,session,0.01370230770522671
0,20,media,0.013290151795302543
0,21,stocks,0.012885809830503185
0,22,production,0.012642236019316407
0,23,law,0.012053267353558227
0,24,mplx,0.011424696293539618
0,25,read,0.010763816230405412
0,26,2024,0.010637023588233244
0,27,lags,0.010531462852472251
0,28,lags market,0.010531462852472251
0,29,100,0.010449378395576647
0,30,quarter,0.010262507073799169
0,31,closed recent,0.009878923598445897
0,32,moving,0.009878923598445897
0,33,previous,0.009432457997845447
0,34,gas,0.009431506395611208
0,35,day,0.009282567436366383
0,36,shares,0.009263501450535696
0,37,trump,0.009213924851134814
0,38,trading day,0.008985383542861575
0,39,resources,0.008976946686421152
0,40,previous trading,0.008782053055372802
0,41,recent,0.008456237499866
0,42,recent trading,0.008456237499866
0,43,worth,0.008424990822868246
0,44,industry,0.008200880554193
0,45,class action,0.007530511474259406
0,46,class,0.007530511474259406
0,47,action,0.007530511474259406
0,48,group,0.007430826024337132
0,49,latest,0.0069165435123188105
0,50,latest trading,0.0069165435123188105
0,51,corporation,0.006724131394519682
0,52,14,0.006583003264013533
0,53,oil gas,0.006209254442423106
0,54,15,0.00601213762991712
0,55,june,0.00561298327507388
0,56,buy,0.005526849358182543
0,57,record,0.005457342878269925
0,58,revenue,0.005424432022117507
0,59,facts,0.005418553521415299
0,60,reserves,0.005371682047447286
0,61,chevron,0.005246644817089975
0,62,nasdaq,0.005205987851672816
0,63,strong,0.00502766972400338
0,64,energy corp,0.004993812230793882
0,65,year,0.004863856573841316
0,66,company,0.0047983042516553534
0,67,financial,0.004707481859617481
0,68,close,0.004536564732167882
0,69,release,0.0044143882765594
0,70,diamondback energy,0.004345108524825709
0,71,diamondback,0.004345108524825709
0,72,fang,0.004345108524825709
0,73,know,0.004277729920613108
0,74,conference,0.004250500954775812
0,75,december,0.004161687540664529
0,76,ended,0.004151987106148981
0,77,asset,0.003891533994956293
0,78,metrics,0.00384472167191769
0,79,partners,0.003767055137797078
0,80,executive,0.003622143140723909
0,81,new,0.0034649805926649613
0,82,q4,0.003396245995450274
0,83,markets,0.0033824270154086513
0,84,share,0.003366993234904827
0,85,global,0.003345614850574577
0,86,information,0.003339356430811253
0,87,announced,0.0033144491380110446
0,88,summary,0.003288658352861757
0,89,market facts,0.00325748243062401
0,90,2025 prnewswire,0.00321570714464337
0,91,prnewswire,0.00321570714464337
0,92,pr,0.00321570714464337
0,93,significant,0.0031250093489498874
0,94,q1,0.0031239238385709677
0,95,average,0.003077208957915108
0,96,industrial average,0.003077208957915108
0,97,close trade,0.003077208957915108
0,98,stocks lower,0.003077208957915108
0,99,jones industrial,0.003077208957915108
0,100,lower close,0.003077208957915108
1,1,2025,0.07796170346127834
1,2,energy,0.0681447619536805
1,3,earnings,0.02833834989271316
1,4,media,0.02402145242477739
1,5,14,0.0226363579998439
1,6,year,0.018910464748767376
1,7,million,0.018168135322195786
1,8,oil,0.01710279074455793
1,9,production,0.016734356802147455
1,10,release,0.015110331344311818
1,11,stock,0.01487857860310559
1,12,closed,0.014645617987864021
1,13,shares,0.013935423979090143
1,14,2024,0.013732356727801261
1,15,results,0.013277114953597057
1,16,trading session,0.01321046669343065
1,17,session,0.01321046669343065
1,18,mplx,0.012526133571818858
1,19,law,0.010151858796521104
1,20,ended,0.010030840138346488
1,21,information,0.010019909717897063
1,22,q1,0.009922851918419304
1,23,quarter,0.009736346108355104
1,24,assets,0.009541737506871194
1,25,conference,0.00951997017876911
1,26,announces,0.009380296426432197
1,27,annual,0.009034910018108164
1,28,industry,0.008546284056739073
1,29,trade,0.008330107864224615
1,30,market,0.007947932151879625
1,31,revenue,0.007618261003407441
1,32,permian,0.007443334488503724
1,33,company,0.007305429770293469
1,34,facts,0.00729012130135136
1,35,strong,0.007108494556629697
1,36,ended december,0.006887030515303606
1,37,march,0.006742673834269088
1,38,gas,0.006713700035156743
1,39,release q1,0.006693271249414205
1,40,sells,0.00660572725635436
1,41,june,0.006493945416290961
1,42,summary,0.006395505961198283
1,43,shareholders,0.00635227086673611
1,44,record,0.006293098617839382
1,45,stocks,0.006232709446049849
1,46,share,0.006180054530940733
1,47,2024 earnings,0.0061575807183755485
1,48,executive,0.00611808188476903
1,49,december,0.00605134194112889
1,50,q4,0.005945883550578453
1,51,read,0.0058905624993519775
1,52,metrics,0.005793386558160328
1,53,investors,0.005679382701824551
1,54,class,0.00554431212700621
1,55,action,0.00554431212700621
1,56,class action,0.00554431212700621
1,57,corp,0.005524859158506232
1,58,trump,0.005496444904495436
1,59,corporation,0.00549461394551071
1,60,american,0.005398191076912705
1,61,stock news,0.00537726538530121
1,62,news,0.00537726538530121
1,63,trading,0.005314596640660859
1,64,reports,0.005225225499307378
1,65,worth,0.005074611539580875
1,66,asset,0.004912395971806515
1,67,previous trading,0.0046149687851130645
1,68,construction,0.004529414070518142
1,69,north american,0.004529414070518142
1,70,north,0.004529414070518142
1,71,american construction,0.004529414070518142
1,72,construction group,0.004529414070518142
1,73,know,0.004523544292572393
1,74,com,0.004510210874223575
1,75,investing com,0.004510210874223575
1,76,investing,0.004510210874223575
1,77,18,0.004502156686290412
1,78,markets,0.0044661000502406335
1,79,diamondback energy,0.0044068444710084935
1,80,diamondback,0.0044068444710084935
1,81,fang,0.0044068444710084935
1,82,trading day,0.004406240960738446
1,83,group,0.004397071428266148
1,84,7th,0.004388967217702244
1,85,market facts,0.004382616497634443
1,86,delek,0.004266990325439342
1,87,moving,0.004118689197517823
1,88,closed recent,0.004118689197517823
1,89,estimates,0.004114922486624703
1,90,holdings,0.004090641825097567
1,91,transcript,0.003982624746145178
1,92,lp,0.0036556767328188087
1,93,global,0.003655224873445535
1,94,lags,0.003523176169876037
1,95,lags market,0.003523176169876037
1,96,investors need,0.0033539573641365545
1,97,financial results,0.003290208961573957
1,98,100,0.0032882525177467957
1,99,15,0.0032253355553226444
1,100,energy corp,0.00321934051427435
2,1,energy,0.10328465403456093
2,2,2025,0.05548509884839656
2,3,production,0.029376592821463866
2,4,mplx,0.023950829865358486
2,5,trading,0.023835074771434456
2,6,shares,0.023198925429625844
2,7,investing,0.01905847967853812
2,8,investing com,0.01905847967853812
2,9,com,0.01905847967853812
2,10,industry,0.016747164610932085
2,11,14,0.016053354735830364
2,12,investors,0.01482307102460192
2,13,million,0.01481985465379817
2,14,trump,0.014710369755630242
2,15,earnings,0.014621816147451916
2,16,year,0.014046608174926058
2,17,trading day,0.01339162450360001
2,18,revenue,0.013042693025524951
2,19,stock,0.01289300919373538
2,20,lp,0.012655813852382685
2,21,day,0.012336296645777553
2,22,strong,0.01213616428063308
2,23,june,0.012106928691364842
2,24,group,0.011827897452603283
2,25,market,0.011685007292781088
2,26,results,0.011554496604480442
2,27,media,0.01073130062947482
2,28,release,0.010695943067752418
2,29,summary,0.009684164314060039
2,30,metrics,0.009638108230078019
2,31,share,0.009547047765845564
2,32,trade,0.009259235779734018
2,33,previous,0.00882506153619304
2,34,asset,0.008803929966762809
2,35,diamondback,0.008751952995834202
2,36,diamondback energy,0.008751952995834202
2,37,fang,0.008751952995834202
2,38,assets,0.008601081623414063
2,39,annual,0.008313489916825583
2,40,markets,0.00784852706564929
2,41,nasdaq,0.007738956232077313
2,42,stock news,0.007233001706595925
2,43,news,0.007233001706595925
2,44,100,0.007161125877829856
2,45,announces,0.007010802887368882
2,46,lags,0.0070082866825962094
2,47,lags market,0.0070082866825962094
2,48,global,0.007000839724020113
2,49,q1,0.006798928079848343
2,50,information,0.0066805532870858105
2,51,stocks,0.006653100384453346
2,52,new,0.006533897576786047
2,53,significant,0.0062973535371970086
2,54,resources,0.006103586090819558
2,55,estimates,0.0060525112565226824
2,56,mplx lp,0.0059877074663396215
2,57,lp mplx,0.0059877074663396215
2,58,recent,0.005967395661242044
2,59,recent trading,0.005967395661242044
2,60,ended,0.005878853032197497
2,61,investor,0.005857275699440038
2,62,closed recent,0.005760234400928066
2,63,moving,0.005760234400928066
2,64,marking,0.005416560879104661
2,65,release q1,0.0053570722579346685
2,66,financial,0.005339268863618339
2,67,growth,0.005310603236886529
2,68,conference,0.0052694692239933045
2,69,2024 earnings,0.004981559897396648
2,70,read,0.004873253731053437
2,71,partners,0.0047655005420633775
2,72,news summary,0.004732971324289529
2,73,sells,0.004717209900489634
2,74,closed,0.004652619741895245
2,75,march,0.004621377308587077
2,76,wall,0.004487260489098619
2,77,permian,0.004417924703599528
2,78,chief,0.00438530043441109
2,79,announced,0.0042981363984898446
2,80,previous trading,0.004167084270259736
2,81,despite,0.0041519803506920175
2,82,natural,0.004141446342890789
2,83,natural gas,0.004141446342890789
2,84,close,0.00410133788775604
2,85,prior day,0.004065235278689037
2,86,prior,0.004065235278689037
2,87,ended december,0.004036335906994471
2,88,oil gas,0.003997921571195919
2,89,rally,0.003964940497837118
2,90,shareholders,0.0039023995373779078
2,91,december 2024,0.0038983817699239772
2,92,quarter ended,0.0038983817699239772
2,93,numbers,0.0038983817699239772
2,94,20,0.0038290238504931203
2,95,latest trading,0.0037370331391728064
2,96,latest,0.0037370331391728064
2,97,earnings revenue,0.0037218016399732535
2,98,corporate,0.0036840857124117703
2,99,asset management,0.003664868393771109
2,100,management,0.003664868393771109
